date_time,socrata_errors,socrata_updated,socrata_created,socrata_deleted,no_update,update_requests,insert_requests,delete_requests,not_processed,response_message
2016-09-08 00:04:00,0,0,0,0,918,0,0,0,['959'],
2016-09-08 00:14:02,0,0,0,0,918,0,0,0,['959'],
2016-09-08 00:24:00,0,0,0,0,918,0,0,0,['959'],
2016-09-08 00:34:00,0,1,0,0,917,1,0,0,['959'],
2016-09-08 00:44:00,0,0,0,0,918,0,0,0,['959'],
2016-09-08 00:49:00,0,0,0,0,918,0,0,0,['959'],
2016-09-08 00:59:00,0,1,0,0,917,1,0,0,['959'],
2016-09-08 01:09:00,0,0,0,0,918,0,0,0,['959'],
2016-09-08 01:14:00,0,0,0,0,918,0,0,0,['959'],
2016-09-08 01:24:00,0,0,0,0,918,0,0,0,['959'],
2016-09-08 01:34:00,0,3,0,0,915,3,0,0,['959'],
2016-09-08 01:44:00,0,0,0,0,918,0,0,0,['959'],
2016-09-08 01:54:00,0,0,0,0,918,0,0,0,['959'],
2016-09-08 01:59:00,0,0,0,0,918,0,0,0,['959'],
2016-09-08 02:09:00,0,2,0,0,916,2,0,0,['959'],
2016-09-08 02:19:00,0,1,0,0,917,1,0,0,['959'],
2016-09-08 02:29:00,0,1,0,0,917,1,0,0,['959'],
2016-09-08 02:34:00,0,1,0,0,917,1,0,0,['959'],
2016-09-08 02:39:02,0,1,0,0,917,1,0,0,['959'],
2016-09-08 02:49:00,0,0,0,0,918,0,0,0,['959'],
2016-09-08 02:54:00,0,0,0,0,918,0,0,0,['959'],
2016-09-08 03:04:00,0,0,0,0,918,0,0,0,['959'],
2016-09-08 03:09:00,0,0,0,0,918,0,0,0,['959'],
2016-09-08 03:14:00,0,1,0,0,917,1,0,0,['959'],
2016-09-08 03:19:00,0,1,0,0,917,1,0,0,['959'],
2016-09-08 03:29:00,0,0,0,0,918,0,0,0,['959'],
2016-09-08 03:34:00,0,1,0,0,917,1,0,0,['959'],
2016-09-08 03:44:00,0,0,0,0,918,0,0,0,['959'],
2016-09-08 03:49:00,0,2,0,0,916,2,0,0,['959'],
2016-09-08 03:59:00,0,0,0,0,918,0,0,0,['959'],
2016-09-08 04:04:00,0,2,0,0,916,2,0,0,['959'],
2016-09-08 04:14:01,0,0,0,0,918,0,0,0,['959'],
2016-09-08 04:19:02,0,1,0,0,917,1,0,0,['959'],
2016-09-08 04:29:00,0,0,0,0,918,0,0,0,['959'],
2016-09-08 04:34:00,0,1,0,0,917,1,0,0,['959'],
2016-09-08 04:44:00,0,0,0,0,918,0,0,0,['959'],
2016-09-08 04:54:00,0,1,0,0,917,1,0,0,['959'],
2016-09-08 05:04:00,0,0,0,0,918,0,0,0,['959'],
2016-09-08 05:09:00,0,0,0,0,918,0,0,0,['959'],
